                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.56945,                0.61568,                 1.2412,                0.90064,                0.92496,                0.90642,                0.70773,                0.68706,                0.72333,                 1.4841,             0.00079238,             0.00079238,             0.00079238
                     92,                 0.5388,                 0.5804,                  1.229,                 0.8163,                0.92529,                0.87587,                0.68467,                0.69889,                0.82629,                 1.5088,             0.00078531,             0.00078531,             0.00078531
                     93,                0.60378,                0.65197,                 1.3016,                0.82812,                0.83931,                0.86697,                0.68512,                0.67463,                 0.8869,                 1.4577,             0.00077823,             0.00077823,             0.00077823
                     94,                 0.5579,                0.60348,                 1.2195,                0.85124,                0.93002,                0.90776,                 0.7233,                 0.6545,                0.68244,                 1.4754,             0.00077116,             0.00077116,             0.00077116
                     95,                0.55049,                0.54659,                 1.2207,                0.63144,                0.87971,                0.85969,                0.68851,                0.68772,                0.94478,                 1.5385,             0.00076409,             0.00076409,             0.00076409
                     96,                0.56324,                0.56624,                 1.2549,                 0.6979,                0.89828,                0.86822,                0.69382,                0.66016,                0.88872,                 1.5036,             0.00075701,             0.00075701,             0.00075701
                     97,                0.50603,                0.53359,                 1.2016,                0.85537,                0.93333,                0.89874,                0.67668,                0.76627,                0.83563,                 1.6117,             0.00074994,             0.00074994,             0.00074994
                     98,                0.52513,                 0.5765,                  1.236,                0.81366,                0.91247,                0.86488,                0.60043,                0.90298,                0.91277,                 1.8412,             0.00074287,             0.00074287,             0.00074287
                     99,                0.52264,                0.57477,                 1.2369,                0.71772,                 0.8916,                0.83267,                0.56972,                0.97688,                 1.0737,                  1.938,             0.00073579,             0.00073579,             0.00073579
                    100,                0.55735,                0.56027,                 1.2543,                0.73958,                0.91667,                0.86511,                0.64233,                0.79689,                 0.9275,                 1.6235,             0.00072872,             0.00072872,             0.00072872
                    101,                0.53652,                0.59005,                  1.227,                0.86108,                0.94757,                0.91122,                0.71497,                0.66583,                 0.7367,                 1.5195,             0.00072164,             0.00072164,             0.00072164
                    102,                0.51354,                0.54531,                 1.2135,                 0.8521,                0.95508,                0.89338,                0.70176,                0.64288,                0.72642,                  1.488,             0.00071457,             0.00071457,             0.00071457
                    103,                0.50614,                0.56056,                 1.1971,                0.83543,                0.83472,                0.82353,                0.65006,                0.66668,                0.92184,                 1.4889,              0.0007075,              0.0007075,              0.0007075
                    104,                0.53136,                0.54107,                 1.2279,                0.78223,                0.90296,                0.84761,                0.67039,                0.71549,                0.74503,                 1.5321,             0.00070042,             0.00070042,             0.00070042
